years	company	porfit_or_less	capital_adequacy_ratio	amount	label	circlecolor
2008	シャープ	-554	38.6 	8619 	シャープ	mark01
2008	日立製作所	1271	11.2 	8959 	日立製作所	mark02
2008	東芝	-2501	8.2 	8223 	東芝	mark03
2008	三菱電機	1397	25.5 	9469 	三菱電機	mark04
2008	パナソニック	728	43.5 	26223 	パナソニック	mark05
2008	ソニー	-2277	24.7 	20070 	ソニー	mark06
2008	ＮＥＣ	-62	20.9 	5358 	ＮＥＣ	mark07
2008	富士通	687	23.2 	7555 	富士通	mark08
