years	company	porfit_or_less	capital_adequacy_ratio	amount	label	circlecolor
2012	シャープ	-1462	6.0 	3200 	シャープ	mark01
2012	日立製作所	4220	21.2 	26245 	日立製作所	mark02
2012	東芝	1977	17.0 	20001 	東芝	mark03
2012	三菱電機	1520	38.1 	16254 	三菱電機	mark04
2012	パナソニック	1609	23.4 	16042 	パナソニック	mark05
2012	ソニー	2265	15.4 	16616 	ソニー	mark06
2012	ＮＥＣ	1146	27.5 	6381 	ＮＥＣ	mark07
2012	富士通	882	21.4 	8031 	富士通	mark08
