years	company	porfit_or_less	capital_adequacy_ratio	amount	label	circlecolor
2009	シャープ	519	36.8 	12984 	シャープ	mark01
2009	日立製作所	2021	14.3 	15768 	日立製作所	mark02
2009	東芝	1252	14.6 	20467 	東芝	mark03
2009	三菱電機	943	30.0 	18444 	三菱電機	mark04
2009	パナソニック	1904	33.4 	35078 	パナソニック	mark05
2009	ソニー	317	23.1 	35962 	ソニー	mark06
2009	ＮＥＣ	509	26.9 	7319 	ＮＥＣ	mark07
2009	富士通	943	24.7 	12668 	富士通	mark08
