years	company	porfit_or_less	bottom_line	capital_adequacy_ratio	amount	label	circlecolor	for_id
2008	シャープ	-554	-1258	38.6 	8619 	シャープ	mark01	sharp
2008	日立製作所	1271	-7873	11.2 	8959 	日立製作所	mark02
2008	東芝	-2501	-3435	8.2 	8223 	東芝	mark03
2008	三菱電機	1397	121	25.5 	9469 	三菱電機	mark04
2008	パナソニック	728	-3789	43.5 	26223 	パナソニック	mark05
2008	ソニー	-2277	-989	24.7 	20070 	ソニー	mark06
2008	ＮＥＣ	-62	-2966	20.9 	5358 	ＮＥＣ	mark07
2008	富士通	687	-1123	23.2 	7555 	富士通	mark08
2009	シャープ	519	43	36.8 	12984 	シャープ	mark01	sharp
2009	日立製作所	2021	-1069	14.3 	15768 	日立製作所	mark02
2009	東芝	1252	-197	14.6 	20467 	東芝	mark03
2009	三菱電機	943	282	30.0 	18444 	三菱電機	mark04
2009	パナソニック	1904	-1034	33.4 	35078 	パナソニック	mark05
2009	ソニー	317	-408	23.1 	35962 	ソニー	mark06
2009	ＮＥＣ	509	114	26.9 	7319 	ＮＥＣ	mark07
2009	富士通	943	930	24.7 	12668 	富士通	mark08
2010	シャープ	788	194	35.6 	9163 	シャープ	mark01	sharp
2010	日立製作所	4445	2388	15.7 	19566 	日立製作所	mark02
2010	東芝	2402	1378	16.1 	17247 	東芝	mark03
2010	三菱電機	2337	1245	31.5 	21085 	三菱電機	mark04
2010	パナソニック	3052	740	32.7 	25953 	パナソニック	mark05
2010	ソニー	1998	-2595	19.7 	26763 	ソニー	mark06
2010	ＮＥＣ	578	-125	28.8 	4714 	ＮＥＣ	mark07
2010	富士通	1325	550	27.2 	9729 	富士通	mark08
2011	シャープ	-375	-3760	23.9 	6708 	シャープ	mark01	sharp
2011	日立製作所	4122	3471	18.8 	24002 	日立製作所	mark02
2011	東芝	2026	700	15.0 	15424 	東芝	mark03
2011	三菱電機	2254	1120	33.4 	15717 	三菱電機	mark04
2011	パナソニック	437	-7721	29.2 	18667 	パナソニック	mark05
2011	ソニー	-672	-4566	15.3 	17119 	ソニー	mark06
2011	ＮＥＣ	737	-1102	25.7 	4506 	ＮＥＣ	mark07
2011	富士通	1053	427	28.6 	9025 	富士通	mark08
2012	シャープ	-1462	-5453	6.0 	3200 	シャープ	mark01	sharp
2012	日立製作所	4220	1753	21.2 	26245 	日立製作所	mark02
2012	東芝	1977	773	17.0 	20001 	東芝	mark03
2012	三菱電機	1520	695	38.1 	16254 	三菱電機	mark04
2012	パナソニック	1609	-7542	23.4 	16042 	パナソニック	mark05
2012	ソニー	2265	415	15.4 	16616 	ソニー	mark06
2012	ＮＥＣ	1146	304	27.5 	6381 	ＮＥＣ	mark07
2012	富士通	882	-799	21.4 	8031 	富士通	mark08
2013	シャープ	1085	115	8.9 	5341 	シャープ	mark01	sharp
2013	日立製作所	5382	2649	24.1 	36830 	日立製作所	mark02
2013	東芝	2907	508	19.7 	18518 	東芝	mark03
2013	三菱電機	2351	1534	42.2 	24950 	三菱電機	mark04
2013	パナソニック	3051	1204	29.7 	28774 	パナソニック	mark05
2013	ソニー	264	-1283	14.7 	20482 	ソニー	mark06
2013	ＮＥＣ	1061	337	27.8 	8257 	ＮＥＣ	mark07
2013	富士通	1472	1132	18.6 	12916 	富士通	mark08
2014	シャープ	-480	-2223	1.5 	3997 	シャープ	mark01	sharp
2014	日立製作所	6004	2413	23.6 	39789 	日立製作所	mark02
2014	東芝				 	東芝	mark03
2014	三菱電機	3176	2346	45.4 	30672 	三菱電機	mark04
2014	パナソニック	3819	1794	30.6 	38684 	パナソニック	mark05
2014	ソニー	685	-1259	14.6 	37308 	ソニー	mark06
2014	ＮＥＣ	1280	573	31.4 	9194 	ＮＥＣ	mark07
2014	富士通	1786	1400	24.2 	16955 	富士通	mark08
