years	company	porfit_or_less	capital_adequacy_ratio	amount	label	circlecolor
2013	シャープ	1085	8.9 	5341 	シャープ	mark01
2013	日立製作所	5382	24.1 	36830 	日立製作所	mark02
2013	東芝	2907	19.7 	18518 	東芝	mark03
2013	三菱電機	2351	42.2 	24950 	三菱電機	mark04
2013	パナソニック	3051	29.7 	28774 	パナソニック	mark05
2013	ソニー	264	14.7 	20482 	ソニー	mark06
2013	ＮＥＣ	1061	27.8 	8257 	ＮＥＣ	mark07
2013	富士通	1472	18.6 	12916 	富士通	mark08
