years	company	porfit_or_less	capital_adequacy_ratio	amount	label	circlecolor
2011	シャープ	-375	23.9 	6708 	シャープ	mark01
2011	日立製作所	4122	18.8 	24002 	日立製作所	mark02
2011	東芝	2026	15.0 	15424 	東芝	mark03
2011	三菱電機	2254	33.4 	15717 	三菱電機	mark04
2011	パナソニック	437	29.2 	18667 	パナソニック	mark05
2011	ソニー	-672	15.3 	17119 	ソニー	mark06
2011	ＮＥＣ	737	25.7 	4506 	ＮＥＣ	mark07
2011	富士通	1053	28.6 	9025 	富士通	mark08
