years	company	porfit_or_less	capital_adequacy_ratio	amount	label	circlecolor
2010	シャープ	788	35.6 	9163 	シャープ	mark01
2010	日立製作所	4445	15.7 	19566 	日立製作所	mark02
2010	東芝	2402	16.1 	17247 	東芝	mark03
2010	三菱電機	2337	31.5 	21085 	三菱電機	mark04
2010	パナソニック	3052	32.7 	25953 	パナソニック	mark05
2010	ソニー	1998	19.7 	26763 	ソニー	mark06
2010	ＮＥＣ	578	28.8 	4714 	ＮＥＣ	mark07
2010	富士通	1325	27.2 	9729 	富士通	mark08
