years	company	porfit_or_less	capital_adequacy_ratio	amount	label	circlecolor
2014	シャープ	-480	1.5 	3997 	シャープ	mark01
2014	日立製作所	6004	23.6 	39789 	日立製作所	mark02
2014	東芝			21365 	東芝	mark03
2014	三菱電機	3176	45.4 	30672 	三菱電機	mark04
2014	パナソニック	3819	30.6 	38684 	パナソニック	mark05
2014	ソニー	685	14.6 	37308 	ソニー	mark06
2014	ＮＥＣ	1280	31.4 	9194 	ＮＥＣ	mark07
2014	富士通	1786	24.2 	16955 	富士通	mark08
