年齢【歳】	勤続年数【年】	所定内実労働時間数【時間】	超過実労働時間数【時間】	きまって支給する現金給与額【千円】	所定内給与額【千円】	年間賞与その他特別給与額【千円】	労働者数【十人】	code	label	year	salary	working_time
43	12.6	170	13	303.9	282.1	666.1	37135	I52	飲食料品卸売業	2013	4312.9	183
42.4	12.3	169	9	324.8	308.1	818.8	32616	I53	建築材料，鉱物・金属材料等卸売業	2013	4716.4	178
41.6	15	163	11	356.5	334.7	1145.4	56422	I54	機械器具卸売業	2013	5423.4	174
41.5	13.3	164	7	365.2	350.2	1104.1	39671	I55	その他の卸売業	2013	5486.5	171
40	11.3	169	11	278	260.2	578.9	154220	I56〜61	小売業	2013	3914.9	180
43.3	15.5	162	6	280.5	270.1	660.7	13548	I56	各種商品小売業	2013	4026.7	168
37.9	9.6	168	8	269.7	257.4	486	8334	I57	織物・衣服・身の回り品小売業	2013	3722.4	176
41.3	10.5	170	10	254.1	237.8	382.6	47922	I58	飲食料品小売業	2013	3431.8	180
38.1	12.8	168	13	309.5	286.6	879.2	41398	I59	機械器具小売業	2013	4593.2	181
40	9.9	170	9	273.7	256.6	503.6	37989	I60	その他の小売業	2013	3788	179
36.6	8.3	167	14	285	261.3	479.9	5030	I61	無店舗小売業	2013	3899.9	181
42	13.6	149	12	391.3	363.4	1251.6	97597	J	金融業，保険業	2013	5947.2	161
39.1	14.4	152	19	406.3	359.9	1480.3	26675	J62	銀行業	2013	6355.9	171
39.6	15.9	155	10	348.9	327.1	1248.9	14822	J63	協同組織金融業	2013	5435.7	165
41.1	14.3	152	16	401.4	363.4	1349.1	5863	J64	貸金業，クレジットカード業等非預金信用機関	2013	6165.9	168
40.4	13.1	155	15	524.1	486.5	1213.5	10162	J65	金融商品取引業，商品先物取引業	2013	7502.7	170
44	11.2	146	9	408.1	386.1	1300.3	1657	J66	補助的金融業等	2013	6197.5	155
45.4	12.4	142	6	359.7	346.2	1087	38417	J67	保険業(保険媒介代理業,保険サービス業を含む)	2013	5403.4	148
42.6	9.9	163	11	338.1	316.7	877	29147	K	不動産業，物品賃貸業	2013	4934.2	174
39.9	9.1	167	9	385.1	366.3	1010.9	6817	K68	不動産取引業	2013	5632.1	176
45.5	9.6	158	9	325.3	305.7	882.5	11640	K69	不動産賃貸業・管理業	2013	4786.1	167
41.1	10.7	165	14	322	297	785.6	10690	K70	物品賃貸業	2013	4649.6	179
41.8	12.6	158	13	401.9	372.4	1177.5	73354	L	学術研究，専門・技術サービス業	2013	6000.3	171
41.8	15.2	153	12	459.8	429.6	1730.9	19711	L71	学術・開発研究機関	2013	7248.5	165
41.5	9.8	160	11	414.5	386.1	942.3	13554	L72	専門サービス業（他に分類されないもの）	2013	5916.3	171
37.7	9.8	155	16	421.8	387.6	974.9	6275	L73	広告業	2013	6036.5	171
42.6	12.7	160	14	359.4	330.8	986.7	33814	L74	技術サービス業(他に分類されないもの）	2013	5299.5	174
40.8	8.4	173	13	253.4	232.6	276	51936	M	宿泊業，飲食サービス業	2013	3316.8	186
41.1	8.6	171	11	249.8	231.6	275.6	22917	M75	宿泊業	2013	3273.2	182
39.2	8.4	176	16	265.8	240.8	281.2	21785	M76	飲食店	2013	3470.8	192
44.5	8	171	12	227.5	211.5	261.9	7234	M77	持ち帰り・配達飲食サービス業	2013	2991.9	183
38.9	8.8	170	8	268.2	253.6	382.4	49995	N	生活関連サービス業，娯楽業	2013	3600.8	178
39.2	8.6	174	8	226.4	214.2	211.3	13289	N78	洗濯・理容・美容・浴場業	2013	2928.1	182
40.9	9.9	167	11	293	273.4	516.2	9289	N79	その他の生活関連サービス業	2013	4032.2	178
38.1	8.4	169	7	280.1	265.9	420	27416	N80	娯楽業	2013	3781.2	176
43.4	12.2	158	6	397.9	385.5	1346.7	63484	O	教育，学習支援業	2013	6121.5	164
43.8	12.4	157	4	415.8	405.9	1486.6	52932	O81	学校教育	2013	6476.2	161
41.4	11.2	162	13	308.3	283.2	645.1	10552	O82	その他の教育，学習支援業	2013	4344.7	175
40.2	8	162	6	294.4	272.8	642.6	312299	P	医療，福祉	2013	4175.4	168
39.7	8.6	160	8	341.1	310.5	727	166328	P83	医療業	2013	4820.2	168
42.8	11.8	166	17	358.6	325.2	950.1	3413	P84	保健衛生	2013	5253.3	183
40.7	7.1	164	4	238.4	227.6	536.8	142558	P85	社会保険・社会福祉・介護事業	2013	3397.6	168
41.6	14.9	156	9	306.6	288.5	883.8	33684	Q	複合サービス業	2013	4563	165
41.9	14.3	155	13	336.2	308.4	832.8	17283	Q86	郵便局	2013	4867.2	168
41.2	15.5	156	5	275.4	267.6	937.6	16401	Q87	協同組合（他に分類されないもの）	2013	4242.4	161
44	8.8	163	14	273.6	249.2	492.7	154403	R	サービス業（他に分類されないもの）	2013	3775.9	177
44.6	9.4	170	11	283.7	264	461.9	13288	R88	廃棄物処理業	2013	3866.3	181
43.1	14.1	172	14	288.6	265.2	564.3	5658	R89	自動車整備業	2013	4027.5	186
41.7	14.1	158	17	366.5	326.5	1155	12331	R90	機械等修理業(別掲を除く)	2013	5553	175
39.4	5	157	16	249.1	222.3	217	32361	R91	職業紹介・労働者派遣業	2013	3206.2	173
46	8.4	164	14	255.8	232.4	421.2	78428	R92	その他の事業サービス業	2013	3490.8	178
45.6	12.9	153	7	346.1	329.7	1008.7	8448	R93	政治・経済・文化団体	2013	5161.9	160
46	14.4	168	3	323.6	315.4	927	2668	R94	宗教	2013	4810.2	171
44	13.7	152	9	343.3	322.4	1180.9	1221	R95	その他のサービス業	2013	5300.5	161
41.7	11.8	165	13	325.6	297.7	819.3	2341521	T1	産業計	2012	4726.5	178
46.5	14	166	13	339	312.2	1011.2	1460	C	鉱業，採石業，砂利採取業	2012	5079.2	179
43.8	13.6	171	12	335.1	311.1	628.9	139494	D	建設業	2012	4650.1	183
44.6	13.4	172	10	331.1	311.5	552.6	68663	D06	総合工事業	2012	4525.8	182
44.5	11.6	175	11	309.3	287.5	268.6	19654	D07	職別工事業（設備工事業を除く）	2012	3980.2	186
42.3	14.7	167	16	350.4	319.7	869.7	51177	D08	設備工事業	2012	5074.5	183
41.9	14	165	16	326	291.3	946.2	616804	E	製造業	2012	4858.2	181
43.6	10.2	168	17	245.7	218.8	467.4	75389	E09	食料品製造業	2012	3415.8	185
41.8	13.7	167	14	322.6	290.9	956.1	8174	E10	飲料・たばこ・飼料製造業	2012	4827.3	181
43.3	12.9	171	9	238.6	224.2	462.8	21320	E11	繊維工業	2012	3326	180
42.3	11.4	175	17	263.4	235.8	457.8	6495	E12	木材・木製品製造業(家具を除く)	2012	3618.6	192
42.4	12.9	169	14	279.9	255.7	482	5849	E13	家具・装備品製造業	2012	3840.8	183
42.7	14.5	168	13	302	272.4	796.7	14994	E14	パルプ・紙・紙加工品製造業	2012	4420.7	181
40.3	12.6	172	21	320.2	279.2	593.2	20030	E15	印刷・同関連業	2012	4435.6	193
41.7	15.7	161	9	390.9	364.2	1590.3	45408	E16	化学工業	2012	6281.1	170
41.6	15.9	163	11	375	340.7	1577.7	1772	E17	石油製品・石炭製品製造業	2012	6077.7	174
41.3	13.2	166	15	297.6	267.1	758.2	24583	E18	プラスチック製品製造業(別掲を除く)	2012	4329.4	181
41.2	13.5	163	17	314.1	273.9	904.8	10610	E19	ゴム製品製造業	2012	4674	180
45.4	13.8	176	8	243.8	232.7	287.9	1086	E20	なめし革・同製品・毛皮製造業	2012	3213.5	184
43.8	14.2	168	14	314.2	284.2	775.9	16764	E21	窯業・土石製品製造業	2012	4546.3	182
41	15.2	162	18	350	306.9	1191.9	18425	E22	鉄鋼業	2012	5391.9	180
41.6	14.4	166	15	342.5	304	1061	11717	E23	非鉄金属製造業	2012	5171	181
41.9	12.3	170	15	288.5	260.7	622.1	39972	E24	金属製品製造業	2012	4084.1	185
41.9	15.1	165	18	348.6	310	1115.6	29342	E25	はん用機械器具製造業	2012	5298.8	183
41.6	13.7	169	19	341.3	302.6	904.8	38874	E26	生産用機械器具製造業	2012	5000.4	188
41.6	14.6	161	12	353.8	327.1	1173.3	21773	E27	業務用機械器具製造業	2012	5418.9	173
40.9	14.9	160	16	332.3	295.2	974.9	37720	E28	電子部品・デバイス・電子回路製造業	2012	4962.5	176
41.9	15.1	162	17	347	309.7	1099.1	41620	E29	電気機械器具製造業	2012	5263.1	179
41.2	15.9	158	14	392.8	358.8	1437.5	24469	E30	情報通信機械器具製造業	2012	6151.1	172
41.1	15.9	159	20	366.6	314.5	1191.5	88552	E31	輸送用機械器具製造業	2012	5590.7	179
42.5	13.8	171	11	309.8	290.1	727.7	11868	E32	その他の製造業	2012	4445.3	182
41.4	18.8	154	16	453.5	398.8	1479.8	17174	F	電気・ガス・熱供給・水道業	2012	6921.8	170
41	20	153	17	481.9	419.4	1509.9	12886	F33	電気業	2012	7292.7	170
40.7	17.8	157	11	409.3	372.8	1771.4	2619	F34	ガス業	2012	6683	168
46.5	13.9	159	16	372.8	319.9	1081.5	210	F35	熱供給業	2012	5555.1	175
44.7	10.3	163	8	294.5	274.8	748.1	1459	F36	水道業	2012	4282.1	171
40.1	14	151	16	429.8	392.8	1246.6	135484	G	情報通信業	2012	6404.2	167
42.3	15.7	155	16	383.5	345.8	1194.2	9539	G37	通信業	2012	5796.2	171
40.6	14	155	15	460.6	418.8	1659.8	5278	G38	放送業	2012	7187	170
39.9	14.2	149	16	435.9	397.9	1288.8	105084	G39	情報サービス業	2012	6519.6	165
36.6	6.5	154	3	495	490.9	37.2	2173	G40	インターネット附随サービス業	2012	5977.2	157
40	12.4	161	13	392	359.9	986.6	13410	G41	映像・音声・文字情報制作業	2012	5690.6	174
45.3	11.5	170	26	307.2	262.4	521.2	206229	H	運輸業，郵便業	2012	4207.6	196
40.1	18.3	153	12	378.7	337.1	1497.9	20360	H42	鉄道業	2012	6042.3	165
53.7	10.1	173	26	255.3	211.2	304.6	37465	H43	道路旅客運送業	2012	3368.2	199
44.9	10.3	176	34	303.5	251.4	282.6	98449	H44	道路貨物運送業	2012	3924.6	210
42.2	13.6	161	13	404.6	380	1416.1	1601	H45	水運業	2012	6271.3	174
39	14.4	157	5	472.3	456	1054.8	2900	H46	航空運輸業	2012	6722.4	162
42.2	10.2	170	21	288	251.3	552.5	8714	H47	倉庫業	2012	4008.5	191
42.2	11.8	160	20	319	279.2	809.7	21907	H48	運輸に附帯するサービス業	2012	4637.7	180
41.7	13.2	160	11	316.5	293.9	666.6	14833	H49	郵便業（信書便事業を含む）	2012	4464.6	171
40.5	11.9	169	9	313.1	296.4	797.5	338065	I	卸売業，小売業	2012	4554.7	178
41.3	12.7	168	9	339.9	323.3	987.3	177093	I50〜55	卸売業	2012	5066.1	177
41	15.3	161	10	497.4	469.3	3270.1	2807	I50	各種商品卸売業	2012	9238.9	171
42	12.5	169	5	305.6	296.9	609.4	9793	I51	繊維・衣服等卸売業	2012	4276.6	174
42	12.1	169	12	298.9	278.9	675.7	32608	I52	飲食料品卸売業	2012	4262.5	181
42.1	11.9	171	8	319.7	303.3	868.3	30556	I53	建築材料，鉱物・金属材料等卸売業	2012	4704.7	179
40.6	13.4	166	10	362.7	344.3	1183.7	62249	I54	機械器具卸売業	2012	5536.1	176
40.9	12.6	167	5	351	338.9	958.3	39080	I55	その他の卸売業	2012	5170.3	172
39.7	11	170	10	283.5	266.8	588.6	160972	I56〜61	小売業	2012	3990.6	180
42.8	15	161	6	285.9	275.1	684.4	15536	I56	各種商品小売業	2012	4115.2	167
37.4	8.3	167	6	266.6	257.2	391.8	10567	I57	織物・衣服・身の回り品小売業	2012	3591	173
