年齢【歳】	勤続年数【年】	所定内実労働時間数【時間】	超過実労働時間数【時間】	きまって支給する現金給与額【千円】	所定内給与額【千円】	年間賞与その他特別給与額【千円】	労働者数【十人】	code	label	year	salary	working_time
41.4	13.7	166	6	353.4	340	1080.8	36287	I55	その他の卸売業	2011	5321.6	172
39.1	11.1	169	9	274.4	258.5	563.4	134258	I56〜61	小売業	2011	3856.2	178
42.5	15.1	164	5	295.9	287	700.9	13651	I56	各種商品小売業	2011	4251.7	169
38.4	11.4	166	9	284.8	268.7	477.5	8796	I57	織物・衣服・身の回り品小売業	2011	3895.1	175
40.7	10.2	170	11	251.3	234.1	432.4	38125	I58	飲食料品小売業	2011	3448	181
36.7	12	169	12	292.1	272	734.6	39383	I59	機械器具小売業	2011	4239.8	181
38.8	9.3	170	7	268.3	255.8	480.8	33976	I60	その他の小売業	2011	3700.4	177
41.7	8.9	168	7	293.8	282.2	366.7	328	I61	無店舗小売業	2011	3892.3	175
41	13.3	154	13	421.2	390.6	1411.6	82919	J	金融業，保険業	2011	6466	167
38.3	13.6	154	19	413.5	366	1496	25857	J62	銀行業	2011	6458	173
38.9	15.5	160	10	357.2	333.2	1234.7	12520	J63	協同組織金融業	2011	5521.1	170
40.7	12.5	155	12	395.2	368.4	1329.9	3810	J64	貸金業，クレジットカード業等非預金信用機関	2011	6072.3	167
39.1	11.5	159	12	664.5	632.6	1833.5	9538	J65	金融商品取引業，商品先物取引業	2011	9807.5	171
43.4	16.1	155	8	433.2	414	1415.5	1258	J66	補助的金融業等	2011	6613.9	163
44.6	12.5	150	9	380.1	360.5	1288.4	29935	J67	保険業(保険媒介代理業,保険サービス業を含む)	2011	5849.6	159
42	9.5	165	10	340.2	321.6	894.3	23614	K	不動産業，物品賃貸業	2011	4976.7	175
39.9	8.3	169	7	363.3	348.8	901.1	6374	K68	不動産取引業	2011	5260.7	176
45.3	9.2	160	8	336.1	318.2	902.1	8490	K69	不動産賃貸業・管理業	2011	4935.3	168
40.3	10.8	168	13	327.3	305.1	881.8	8750	K70	物品賃貸業	2011	4809.4	181
40.6	12.5	162	15	410.1	372.5	1255.9	62208	L	学術研究，専門・技術サービス業	2011	6177.1	177
41.6	15.1	162	10	468.3	441.5	1841	16833	L71	学術・開発研究機関	2011	7460.6	172
38.8	9.5	157	19	419.3	368.2	1233	16277	L72	専門サービス業（他に分類されないもの）	2011	6264.6	176
38.8	11.3	164	24	416.7	361.5	1261.3	6893	L73	広告業	2011	6261.7	188
41.9	13.1	165	14	357.2	326.7	827.5	22206	L74	技術サービス業(他に分類されないもの）	2011	5113.9	179
40.4	8.6	173	10	252.8	236.8	311.6	44942	M	宿泊業，飲食サービス業	2011	3345.2	183
41.1	8.7	170	8	242.9	229.3	300.5	22089	M75	宿泊業	2011	3215.3	178
38.8	8.3	177	12	265.4	246.3	314.9	19382	M76	飲食店	2011	3499.7	189
44.7	9.3	172	10	245.6	231	364.4	3472	M77	持ち帰り・配達飲食サービス業	2011	3311.6	182
38.8	8.4	170	8	264.4	250.8	367.9	42552	N	生活関連サービス業，娯楽業	2011	3540.7	178
38.7	8.3	174	9	224.7	212.4	202.6	9892	N78	洗濯・理容・美容・浴場業	2011	2899	183
40	9.4	167	11	288.1	269.5	475	8893	N79	その他の生活関連サービス業	2011	3932.2	178
38.4	8.2	170	7	272.1	259.7	396.6	23767	N80	娯楽業	2011	3661.8	177
43	12.2	166	5	401	389.2	1430.8	58020	O	教育，学習支援業	2011	6242.8	171
43.4	12.5	166	4	417.8	407.8	1570.2	48964	O81	学校教育	2011	6583.8	170
40.6	10.7	166	12	310.5	288.6	677	9056	O82	その他の教育，学習支援業	2011	4403	178
39.7	8	165	6	295.9	273.1	701.4	279288	P	医療，福祉	2011	4252.2	171
39.4	8.5	164	7	335.4	304.1	782.2	163619	P83	医療業	2011	4807	171
39.8	11	177	9	295.2	276.8	865.1	1283	P84	保健衛生	2011	4407.5	186
40	7.1	166	4	239.5	228.7	584	114386	P85	社会保険・社会福祉・介護事業	2011	3458	170
42	15.6	162	6	294.3	284.4	973.9	23667	Q	複合サービス業	2011	4505.5	168
42.5	18.1	160	9	377.3	357	1346.9	4245	Q86	郵便局	2011	5874.5	169
41.9	15	162	5	276.2	268.6	892.4	19422	Q87	協同組合（他に分類されないもの）	2011	4206.8	167
43.6	8.5	166	13	278	254.2	540.2	121372	R	サービス業（他に分類されないもの）	2011	3876.2	179
44.9	9.5	173	10	290.5	272	510.1	11185	R88	廃棄物処理業	2011	3996.1	183
41.9	14.2	175	12	288.7	267.7	556.4	5072	R89	自動車整備業	2011	4020.8	187
41.3	13.9	163	18	351.5	312	1051.8	8411	R90	機械等修理業(別掲を除く)	2011	5269.8	181
38.1	4.3	164	17	251.9	224	205.9	27876	R91	職業紹介・労働者派遣業	2011	3228.7	181
45.7	8.4	165	13	268.7	245.9	530.7	57101	R92	その他の事業サービス業	2011	3755.1	178
48.3	12.1	159	7	321.6	305.9	1063.3	8603	R93	政治・経済・文化団体	2011	4922.5	166
44.9	13.4	167	4	318.4	309.4	1053.3	2317	R94	宗教	2011	4874.1	171
44.2	10.7	164	8	254.8	240.6	688.7	807	R95	その他のサービス業	2011	3746.3	172
41.3	11.9	165	13	323	296.2	791.2	1971819	T1	産業計	2010	4667.2	178
46.7	14.4	165	12	336.4	312.2	939.3	1346	C	鉱業，採石業，砂利採取業	2010	4976.1	177
43.7	13.7	170	12	331.3	308.3	615.8	121556	D	建設業	2010	4591.4	182
44.4	13.1	171	10	337.4	316.6	551.8	61900	D06	総合工事業	2010	4600.6	181
42.4	12.1	174	10	298.9	281.4	354.7	15327	D07	職別工事業（設備工事業を除く）	2010	3941.5	184
43.2	15	168	14	334	306	795.6	44329	D08	設備工事業	2010	4803.6	182
41.4	14.1	165	16	326.5	292.3	860.2	565458	E	製造業	2010	4778.2	181
43	11.1	168	15	256.3	231.2	544.4	60257	E09	食料品製造業	2010	3620	183
42.5	14.2	166	13	316.1	287.6	945.9	7483	E10	飲料・たばこ・飼料製造業	2010	4739.1	179
43.2	12.8	168	7	240.4	227.8	406.3	19837	E11	繊維工業	2010	3291.1	175
43.8	12.2	174	13	255.1	233.4	320.5	5914	E12	木材・木製品製造業(家具を除く)	2010	3381.7	187
42.5	13.1	169	11	280.2	260.6	424.2	5390	E13	家具・装備品製造業	2010	3786.6	180
41.8	14.2	167	15	304	270.9	827.2	15408	E14	パルプ・紙・紙加工品製造業	2010	4475.2	182
40	12.7	172	18	310.3	276.1	512.4	18712	E15	印刷・同関連業	2010	4236	190
41.3	15.2	159	11	374	345.7	1255.7	33194	E16	化学工業	2010	5743.7	170
43.1	21.4	150	16	450.8	390	1890.3	2189	E17	石油製品・石炭製品製造業	2010	7299.9	166
41.4	12.8	166	14	296.1	268.1	635.4	24677	E18	プラスチック製品製造業(別掲を除く)	2010	4188.6	180
40.6	13.9	163	17	316.7	276.7	833	9992	E19	ゴム製品製造業	2010	4633.4	180
45.3	14.5	171	7	249.1	238.4	333.1	1227	E20	なめし革・同製品・毛皮製造業	2010	3322.3	178
44.3	14.2	167	12	308.6	283.5	700.3	15826	E21	窯業・土石製品製造業	2010	4403.5	179
41.4	16.4	161	17	355.1	308.2	1334.4	17310	E22	鉄鋼業	2010	5595.6	178
41.8	14.7	161	16	346.8	307.5	884.4	10778	E23	非鉄金属製造業	2010	5046	177
41.7	13.4	169	14	302.9	277.8	617	40596	E24	金属製品製造業	2010	4251.8	183
41.5	15	164	17	342.2	304.9	993.7	26753	E25	はん用機械器具製造業	2010	5100.1	181
41.3	14.3	168	17	338.8	304.1	809.1	35401	E26	生産用機械器具製造業	2010	4874.7	185
40.8	14.5	161	13	342.6	313.1	930.1	19444	E27	業務用機械器具製造業	2010	5041.3	174
39.9	14.1	160	18	343.2	302.7	893	37933	E28	電子部品・デバイス・電子回路製造業	2010	5011.4	178
41.3	15.3	164	15	346.4	311.5	969.2	39805	E29	電気機械器具製造業	2010	5126	179
40.6	15.2	157	16	359.9	323.3	1088.3	17316	E30	情報通信機械器具製造業	2010	5407.1	173
40.3	15.3	162	20	370.2	319	1125.7	89746	E31	輸送用機械器具製造業	2010	5568.1	182
41.9	13.4	164	11	313.9	291.6	713.7	10269	E32	その他の製造業	2010	4480.5	175
40.6	18.4	155	15	453.7	399.2	1603.7	15269	F	電気・ガス・熱供給・水道業	2010	7048.1	170
40.3	19.8	154	17	484.6	420.7	1697.8	11349	F33	電気業	2010	7513	171
40.3	15.2	157	9	382.2	351.6	1474.1	3000	F34	ガス業	2010	6060.5	166
44.4	12.2	161	9	370.4	339.5	1227.6	111	F35	熱供給業	2010	5672.4	170
44.4	12.2	163	5	297.5	282.6	817	810	F36	水道業	2010	4387	168
37.7	12.2	158	15	395.7	363.3	1107.9	81471	G	情報通信業	2010	5856.3	173
40.3	15.8	154	15	383.6	342.9	1223.9	5914	G37	通信業	2010	5827.1	169
40	14.1	159	16	524.7	485.9	2230.9	3377	G38	放送業	2010	8527.3	175
37	11.7	159	15	376.2	346.6	1029.7	58846	G39	情報サービス業	2010	5544.1	174
35	5	162	13	325.3	298.3	653.6	572	G40	インターネット附随サービス業	2010	4557.2	175
39.5	12.7	158	18	460.3	420.6	1138.4	12761	G41	映像・音声・文字情報制作業	2010	6662	176
44.9	11.6	170	27	305.2	261.5	537.8	162492	H	運輸業，郵便業	2010	4200.2	197
39.8	18.5	154	18	387.2	334.3	1527.6	14730	H42	鉄道業	2010	6174	172
53	10.2	173	28	242.2	199.8	321.9	35489	H43	道路旅客運送業	2010	3228.3	201
43.5	10.7	174	30	306.8	262.1	338.1	81093	H44	道路貨物運送業	2010	4019.7	204
41.2	13	163	12	417.8	395.7	1283.7	1623	H45	水運業	2010	6297.3	175
39	12.9	149	6	518.7	498.7	785.7	1578	H46	航空運輸業	2010	7010.1	155
42	11.6	164	18	298.2	267.1	753.3	5976	H47	倉庫業	2010	4331.7	182
41.9	11.9	161	22	325.2	280.8	819.5	19863	H48	運輸に附帯するサービス業	2010	4721.9	183
41.8	13.9	158	13	319.3	290.6	911.1	2141	H49	郵便業（信書便事業を含む）	2010	4742.7	171
40.1	12.2	166	9	313.7	297.7	752.9	305574	I	卸売業，小売業	2010	4517.3	175
40.9	12.8	164	8	340.2	323.8	899.6	170099	I50〜55	卸売業	2010	4982	172
41.4	15.7	163	9	527	499.1	3403.6	4246	I50	各種商品卸売業	2010	9727.6	172
42.4	11.5	168	5	296.2	287.7	526.1	11489	I51	繊維・衣服等卸売業	2010	4080.5	173
41.9	12.8	168	9	310.7	293.9	784.9	32003	I52	飲食料品卸売業	2010	4513.3	177
41.1	12.6	168	7	325.6	310.9	826.6	27384	I53	建築材料，鉱物・金属材料等卸売業	2010	4733.8	175
40.3	12.8	161	9	355.7	336	859.2	58863	I54	機械器具卸売業	2010	5127.6	170
40.3	13.2	163	7	344	331.1	947	36116	I55	その他の卸売業	2010	5075	170
39	11.3	169	9	280.6	264.8	568.7	135474	I56〜61	小売業	2010	3935.9	178
41.7	14.6	163	5	287.5	278.4	699.4	16986	I56	各種商品小売業	2010	4149.4	168
37.7	10.1	168	6	290.7	280	597.7	9498	I57	織物・衣服・身の回り品小売業	2010	4086.1	174
40	10.1	172	11	255.4	238	442.4	37724	I58	飲食料品小売業	2010	3507.2	183
37.3	13.1	168	12	303.9	282.9	721.5	35471	I59	機械器具小売業	2010	4368.3	180
38.8	9.6	171	8	277.7	264.3	477.4	35498	I60	その他の小売業	2010	3809.8	179
36.1	3.3	172	1	318.7	317.5	860.4	298	I61	無店舗小売業	2010	4684.8	173
40.3	12.7	152	12	392.2	364	1313.8	81776	J	金融業，保険業	2010	6020.2	164
38.1	13.9	154	18	427.2	381.8	1532.2	24528	J62	銀行業	2010	6658.6	172
38.6	15.3	161	10	349.7	327.2	1236	13136	J63	協同組織金融業	2010	5432.4	171
40.9	12.6	155	13	403.7	375.4	1456	4355	J64	貸金業，クレジットカード業等非預金信用機関	2010	6300.4	168
38.5	11.5	156	14	513.6	479.6	1121.3	7020	J65	金融商品取引業，商品先物取引業	2010	7284.5	170
45.3	13.2	154	8	418.9	397.4	1633	1215	J66	補助的金融業等	2010	6659.8	162
42.9	11.1	146	7	353.1	336.8	1187.1	31522	J67	保険業(保険媒介代理業,保険サービス業を含む)	2010	5424.3	153
40.5	8.7	167	11	335.1	314.6	852	26420	K	不動産業，物品賃貸業	2010	4873.2	178
38.9	7.7	171	11	358.6	335.8	957.2	6487	K68	不動産取引業	2010	5260.4	182
44.6	9	164	8	332	314.3	893.2	8468	K69	不動産賃貸業・管理業	2010	4877.2	172
38.5	9.1	168	12	324.1	302.9	762	11465	K70	物品賃貸業	2010	4651.2	180
41.9	11.7	162	11	406	380.5	1064	59005	L	学術研究，専門・技術サービス業	2010	5936	173
41	14.7	162	9	452.4	428	1713.6	15730	L71	学術・開発研究機関	2010	7142.4	171
44.2	7	161	7	408.6	392.7	776.8	16087	L72	専門サービス業（他に分類されないもの）	2010	5680	168
39	10.5	159	16	432.5	391.2	1125.1	4406	L73	広告業	2010	6315.1	175
41.4	13	163	15	367.2	337	806.6	22782	L74	技術サービス業(他に分類されないもの）	2010	5213	178
40.8	8.2	174	11	253.5	236.8	280.3	49174	M	宿泊業，飲食サービス業	2010	3322.3	185
41.2	8.4	172	10	243	227.7	266.7	23484	M75	宿泊業	2010	3182.7	182
38.8	7.9	177	12	270.1	250.7	305.8	20062	M76	飲食店	2010	3547	189
46.4	8.3	174	10	238.4	225.4	245.7	5628	M77	持ち帰り・配達飲食サービス業	2010	3106.5	184
38.4	8.1	171	8	262.9	249.8	365.7	47023	N	生活関連サービス業，娯楽業	2010	3520.5	179
38.4	8.1	175	7	237.1	228.1	217.3	12406	N78	洗濯・理容・美容・浴場業	2010	3062.5	182
38.9	9.1	168	12	289.2	266.6	506.8	8484	N79	その他の生活関連サービス業	2010	3977.2	180
38.2	7.8	170	6	266.6	254.7	390.3	26134	N80	娯楽業	2010	3589.5	176
42.5	12.2	166	5	398.2	386.2	1425.1	55471	O	教育，学習支援業	2010	6203.5	171
43.2	12.6	167	4	415.6	406	1577.9	45485	O81	学校教育	2010	6565.1	171
39.3	10.6	165	11	318.8	296.3	729.2	9985	O82	その他の教育，学習支援業	2010	4554.8	176
39.8	8	164	6	293.7	272.1	694.2	260149	P	医療，福祉	2010	4218.6	170
39.5	8.5	163	8	333.2	303.4	760.1	148557	P83	医療業	2010	4758.5	171
41.1	12.5	169	10	338.3	318.8	1109.1	2261	P84	保健衛生	2010	5168.7	179
40.2	7.1	166	4	239.2	228.5	596	109330	P85	社会保険・社会福祉・介護事業	2010	3466.4	170
41.3	15.2	161	7	288.9	277.2	997.8	23148	Q	複合サービス業	2010	4464.6	168
42	17	159	10	348.8	327.3	1325.9	5252	Q86	郵便局	2010	5511.5	169
41.1	14.7	162	5	271.3	262.5	901.6	17895	Q87	協同組合（他に分類されないもの）	2010	4157.2	167
43.6	8.6	164	13	274.3	251.2	504.9	116487	R	サービス業（他に分類されないもの）	2010	3796.5	177
44.3	9.5	172	10	290.9	273	494.4	10439	R88	廃棄物処理業	2010	3985.2	182
41.5	13.3	173	14	289.9	267.6	526	5861	R89	自動車整備業	2010	4004.8	187
41.2	14.2	161	17	359.6	320.7	1079.7	8916	R90	機械等修理業(別掲を除く)	2010	5394.9	178
38.4	4.1	158	15	250.4	225.7	142.4	25126	R91	職業紹介・労働者派遣業	2010	3147.2	173
46.3	8.2	166	14	253.3	230.9	449.4	54493	R92	その他の事業サービス業	2010	3489	180
44.7	12.8	160	8	357.8	339.1	1211	8149	R93	政治・経済・文化団体	2010	5504.6	168
43.6	13.6	165	4	287.1	278.4	875.7	2942	R94	宗教	2010	4320.9	169
45.7	11.1	163	7	279.7	264.6	778.1	562	R95	その他のサービス業	2010	4134.5	170
