year	sex	age	age_label	general_manager	manager	chief_clerk	foreman	non_title	regular	non_regular	total_worker	general_manager_ratio	manager_ratio	chief_clerk_ratio	foreman_ratio	non_title_ratio	regular_ratio	non_regular_ratio	regular_total_ratio	non_regular_total_ratio	pop_worker	employed	unemployed
2011	M	15	〜19歳					6788	9597	1148	10745					64.94450823	64.38778933	50.50593929	62.55093725	6.682966585	13.8	12.5	9.8
2011	M	20	20〜24歳	2	18	32	111	53847	71726	8514	80240	100	94.73684211	71.11111111	74.4966443	55.82892691	53.41763856	43.37459881	52.13673548	5.532055905	67.9	61.5	9.4
2011	M	25	25〜29歳	34	208	879	615	91620	131701	13757	145458	77.27272727	88.88888889	74.6179966	90.17595308	62.07863836	62.018092	46.08401447	60.05425022	5.679758558	93.8	87.2	6.7
2011	M	30	30〜34歳	215	1837	6110	2418	90927	156196	12876	169072	81.74904943	84.26605505	82.13469552	96.18138425	67.46377403	69.82199852	44.82038429	66.97671471	5.100739203	95.9	91.1	5.0
2011	M	35	35〜39歳	1097	7782	14155	5101	93543	189559	11682	201241	91.0373444	91.15614384	86.63320889	97.25452812	69.58543171	74.03607305	41.77663341	70.85975655	4.113394765	96.6	92.8	3.9
2011	M	40	40〜44歳	3050	17720	14176	4680	71708	174660	9072	183732	93.04453935	93.52404075	84.98800959	96.83426443	67.20020992	74.82072328	35.44026877	70.92913726	3.502215908	96.5	92.9	3.7
2011	M	45	45〜49歳	7530	19453	10594	3234	53306	148990	7684	156674	97.41267788	92.6995473	84.32699196	95.00587544	64.79869688	73.99185538	30.62574731	69.187017	3.393243542	96.4	93.0	3.5
2011	M	50	50〜54歳	11185	15423	7186	2182	45149	130857	7963	138820	95.42701135	91.50943396	83.73339548	94.05172414	64.44425413	73.69651164	33.92263781	69.05230904	3.960982113	95.3	92.0	3.5
2011	M	55	55〜59歳	8800	9672	4777	1963	45527	118970	11686	130656	95.28965891	91.08202279	85.19707508	95.84960938	68.66713926	75.5125357	44.87711214	71.16727491	6.36527044	92.6	88.2	4.7
2011	M	60	60〜64歳	1386	848	428	76	15778	50685	34175	84860	86.84210526	81.53846154	90.10526316	84.44444444	69.82960832	75.13452616	71.69680695	73.7111835	29.68512486	75.8	71.2	6.1
2011	M	65	65〜69歳	252	32	44	3	3041	10183	6952	17135	92.98892989	91.42857143	93.61702128	75	69.54036131	74.19307832	72.95623885	73.68624753	29.89593188	48.5	46.5	4.0
2011	M	70	70歳〜	71	8	17	2	718	3698	1962	5660	85.54216867	100	100	100	61.26279863	70.09097801	67.84232365	69.29480901	24.02056807	20.0	19.7	1.8
2010	M	15	〜19歳				16	8387	11392	975	12367				100	66.80207089	64.83041202	46.38439581	62.85961167	4.955779201	14.5	12.9	11.1
2010	M	20	20〜24歳		5	74	88	55943	75049	8894	83943		21.73913043	77.89473684	83.80952381	56.39358474	53.65510141	43.03687216	52.28822903	5.540086832	67.1	60.2	10.3
2010	M	25	25〜29歳	8	251	1005	731	93741	135815	14000	149815	53.33333333	78.93081761	71.99140401	93.35887612	62.5882997	62.62911794	46.19242444	60.61360069	5.664255312	94.2	86.5	7.8
2010	M	30	30〜34歳	401	1841	6767	2590	95549	164853	12503	177356	95.24940618	82.89058982	84.68276811	97.00374532	69.36960483	71.90249179	43.40867271	68.72239185	4.844696911	96.2	91.2	5.4
2010	M	35	35〜39歳	1197	8825	16309	4350	95098	195632	10638	206270	91.09589041	94.17351403	89.46733227	95.75170592	70.24834902	75.22051077	38.98416887	71.77954247	3.70189932	96.7	92.5	4.4
2010	M	40	40〜44歳	2959	19592	16252	4135	68894	172564	8340	180904	94.53674121	94.43293006	89.02766365	95.32042416	68.68177332	76.28385637	34.06862745	72.16156813	3.326778171	96.8	92.9	4
2010	M	45	45〜49歳	7449	21047	10805	3137	52663	149796	6887	156683	96.71513892	93.58797634	83.68832778	95.40754258	65.75395488	75.01314518	29.46814428	70.24127605	3.087454722	97	93	4.1
2010	M	50	50〜54歳	11403	17100	7529	2320	45343	133864	7767	141631	96.71755725	93.81171824	81.55329289	93.39774557	65.25487148	75.03881879	34.34446164	70.46037969	3.864025312	95.8	91.9	4.1
2010	M	55	55〜59歳	9981	11489	5702	1526	49373	127823	12204	140027	96.71511628	91.41470401	87.45398773	93.50490196	69.51985356	76.51322878	43.18471338	71.69107106	6.248208069	92.8	88	5
2010	M	60	60〜64歳	1438	933	329	70	14248	48002	33125	81127	87.78998779	81.13043478	73.4375	88.60759494	63.81511175	73.85150312	72.07354221	73.11505254	29.85363831	76	70.6	7.1
2010	M	65	65〜69歳	220	38	20	2	2565	9676	8202	17878	82.08955224	41.75824176	83.33333333	100	63.71087928	72.65355158	76.44701277	74.34607228	34.10820477	48.9	46.8	4.7
2010	M	70	70歳〜	65	25		2	586	2794	1679	4473	100	96.15384615	0	100	63.62649294	68.48039216	70.22166458	69.12378303	25.94653068	19.6	19.3	1.8
