year	sex	age	age_label	age4data	pop_worker	employed	unemployed	regular	non_regular
1976	F	35	35〜39歳	37.5	54.3	53.6	1.3		
1976	F	40	40〜44歳	42.5	60.3	59.6	1.2		
1976	F	45	45〜49歳	47.5	61.4	60.6	0.9		
1976	F	50	50〜54歳	52.5	58.1	57.5	1.1		
1976	F	55	55〜59歳	57.5	49.6	49.2	1.5		
1976	F	60	60〜64歳	62.5	37.4	37	1.1		
1976	F	65	65〜69歳	67.5	25.5	25.5			
1976	F	70	70歳以上	72.5	9	9			
1975	F	15	15〜19歳	17.5	21.7	21.2	2.4		
1975	F	20	20〜24歳	22.5	66.2	64.4	2.7		
1975	F	25	25〜29歳	27.5	42.6	41.4	2.7		
1975	F	30	30〜34歳	32.5	43.9	43	2		
1975	F	35	35〜39歳	37.5	54	53.1	1.8		
1975	F	40	40〜44歳	42.5	59.9	59.2	1.2		
1975	F	45	45〜49歳	47.5	61.5	60.7	1.3		
1975	F	50	50〜54歳	52.5	57.8	57.5	1.1		
1975	F	55	55〜59歳	57.5	48.8	48.1	1.6		
1975	F	60	60〜64歳	62.5	38	37.6	1.1		
1975	F	65	65〜69歳	67.5	24.7	24.7			
1975	F	70	70歳以上	72.5	9.3	9.3			
1974	F	15	15〜19歳	17.5	23.9	23.4	2.1		
1974	F	20	20〜24歳	22.5	65.9	64.5	2.2		
1974	F	25	25〜29歳	27.5	43.3	42.5	1.8		
1974	F	30	30〜34歳	32.5	44.9	44.2	1.4		
1974	F	35	35〜39歳	37.5	54.7	53.9	1.3		
1974	F	40	40〜44歳	42.5	60.6	60.1	0.8		
1974	F	45	45〜49歳	47.5	62.4	61.9	0.9		
1974	F	50	50〜54歳	52.5	57.5	56.9	1.1		
1974	F	55	55〜59歳	57.5	49	48.6	0.8		
1974	F	60	60〜64歳	62.5	37.8	37.4	1.1		
1974	F	65	65〜69歳	67.5	25.7	25.7			
1974	F	70	70歳以上	72.5	9.7	9.7			
1973	F	15	15〜19歳	17.5	28	27.5	1.8		
1973	F	20	20〜24歳	22.5	67.3	65.8	2.3		
1973	F	25	25〜29歳	27.5	44.4	43.7	1.9		
1973	F	30	30〜34歳	32.5	46.9	46.4	1		
1973	F	35	35〜39歳	37.5	56.1	55.7	0.8		
1973	F	40	40〜44歳	42.5	62.2	61.7	0.8		
1973	F	45	45〜49歳	47.5	62.7	62.1	0.9		
1973	F	50	50〜54歳	52.5	58.7	58.4	0.6		
1973	F	55	55〜59歳	57.5	50.4	50	0.8		
1973	F	60	60〜64歳	62.5	38.4	37.9	1.2		
1973	F	65	65〜69歳	67.5	27	27			
1973	F	70	70歳以上	72.5	10.5	10.5			
1972	F	15	15〜19歳	17.5	28.5	27.8	1.7		
1972	F	20	20〜24歳	22.5	67.5	66	2.2		
1972	F	25	25〜29歳	27.5	42.9	42	2.1		
1972	F	30	30〜34歳	32.5	45.8	45.3	1.5		
1972	F	35	35〜39歳	37.5	55.4	54.9	0.9		
1972	F	40	40〜44歳	42.5	62	61.5	0.8		
1972	F	45	45〜49歳	47.5	62.5	61.9	0.5		
1972	F	50	50〜54歳	52.5	57.5	56.7	0.6		
1972	F	55	55〜59歳	57.5	49.2	48.4	0.8		
1972	F	60	60〜64歳	62.5	37.7	37.7			
1972	F	65	65〜69歳	67.5	25.6	25.6			
1972	F	70	70歳以上	72.5	9.9	9.9			
1971	F	15	15〜19歳	17.5	31.7	31.3	1.5		
1971	F	20	20〜24歳	22.5	69.2	67.7	2.1		
1971	F	25	25〜29歳	27.5	43.3	42.6	1.6		
1971	F	30	30〜34歳	32.5	46.1	45.6	1		
1971	F	35	35〜39歳	37.5	55.9	55.4	0.9		
1971	F	40	40〜44歳	42.5	62.2	61.7	0.9		
1971	F	45	45〜49歳	47.5	61.7	61.1	1		
1971	F	50	50〜54歳	52.5	57.8	57.5	0.6		
1971	F	55	55〜59歳	57.5	50.2	49.8	0.8		
1971	F	60	60〜64歳	62.5	38.5	38			
1971	F	65	65〜69歳	67.5	26.4	26.4			
1971	F	70	70歳以上	72.5	10.8	10.8			
1970	F	15	15〜19歳	17.5	33.6	33.1	1.3		
1970	F	20	20〜24歳	22.5	70.6	69.1	2.1		
1970	F	25	25〜29歳	27.5	45.5	44.9	1.4		
1970	F	30	30〜34歳	32.5	48.2	47.7	1		
1970	F	35	35〜39歳	37.5	57.5	57	0.9		
1970	F	40	40〜44歳	42.5	62.8	62.6	0.4		
1970	F	45	45〜49歳	47.5	63	62.7	0.5		
1970	F	50	50〜54歳	52.5	58.8	58.5	0.7		
1970	F	55	55〜59歳	57.5	48.7	48.7			
1970	F	60	60〜64歳	62.5	39.1	39.1			
1970	F	65	65〜69歳	67.5	27.8	27.8			
1970	F	70	70歳以上	72.5	11.6	11.6			
1969	F	15	15〜19歳	17.5	35.1	34.4	1.8		
1969	F	20	20〜24歳	22.5	70	68.8	1.7		
1969	F	25	25〜29歳	27.5	47	46.1	1.9		
1969	F	30	30〜34歳	32.5	49	48.3	1.5		
1969	F	35	35〜39歳	37.5	57.6	57.1	0.9		
1969	F	40	40〜44歳	42.5	64	63.5	0.4		
1969	F	45	45〜49歳	47.5	62.9	62.6	0.5		
1969	F	50	50〜54歳	52.5	57.7	57.3	0.7		
1969	F	55	55〜59歳	57.5	49.4	49.4	0.9		
1969	F	60	60〜64歳	62.5	39.2	38.6			
1969	F	65	65〜69歳	67.5	28.2	28.2			
1969	F	70	70歳以上	72.5	12.1	12.1			
1968	F	15	15〜19歳	17.5	38.2	37.4			
1968	F	20	20〜24歳	22.5	70	68.8	1.8		
1968	F	25	25〜29歳	27.5	48	47.3	1.9		
1968	F	30	30〜34歳	32.5	49.6	48.9	1.4		
1968	F	35	35〜39歳	37.5	58.4	57.9	0.9		
1968	F	40	40〜44歳	42.5	64.3	63.7	0.4		
1968	F	45	45〜49歳	47.5	63.4	63.1	0.5		
1968	F	50	50〜54歳	52.5	58	57.6	0.7		
1968	F	55	55〜59歳	57.5	49.6	49.1	0.9		
1968	F	60	60〜64歳	62.5	39	39			
1968	F	65	65〜69歳	67.5	28.3	28.3			
1968	F	70	70歳以上	72.5	12.6	12.6				
